email,training type,Week,marks_type,Score
matthew.nelson@msc.com,Cloud Training,Week 2,Quiz,54
chloe.carter@msc.com,Cloud Training,Week 2,Quiz,12
anthony.mitchell@msc.com,Cloud Training,Week 2,Quiz,97
grace.perez@msc.com,Cloud Training,Week 2,Quiz,98
joshua.moore@msc.com,Cloud Training,Week 2,Quiz,68
ella.white@msc.com,Cloud Training,Week 2,Quiz,81
andrew.ramirez@msc.com,Cloud Training,Week 2,Quiz,36
zoe.walker@msc.com,Cloud Training,Week 2,Quiz,63
nicholas.allen@msc.com,Cloud Training,Week 2,Quiz,57
layla.rivera@msc.com,Cloud Training,Week 2,Quiz,91
ryan.hill@msc.com,Cloud Training,Week 2,Quiz,7
hannah.wright@msc.com,Cloud Training,Week 2,Quiz,1
justin.flores@msc.com,Cloud Training,Week 2,Quiz,2
natalie.collins@msc.com,Cloud Training,Week 2,Quiz,4
ethan.edwards@msc.com,Cloud Training,Week 2,Quiz,84
aria.turner@msc.com,Cloud Training,Week 2,Quiz,26
james.williams@msc.com,Cloud Training,Week 3,Quiz,37
sarah.johnson@msc.com,Cloud Training,Week 3,Quiz,77
michael.brown@msc.com,Cloud Training,Week 3,Quiz,61
emily.davis@msc.com,Cloud Training,Week 3,Quiz,82
john.miller@msc.com,Cloud Training,Week 3,Quiz,41
olivia.garcia@msc.com,Cloud Training,Week 3,Quiz,71
david.martinez@msc.com,Cloud Training,Week 3,Quiz,10
emma.wilson@msc.com,Cloud Training,Week 3,Quiz,13
daniel.anderson@msc.com,Cloud Training,Week 3,Quiz,1
sophia.thomas@msc.com,Cloud Training,Week 3,Quiz,94
robert.taylor@msc.com,Cloud Training,Week 3,Quiz,11
mia.lee@msc.com,Cloud Training,Week 3,Quiz,92
william.harris@msc.com,Cloud Training,Week 3,Quiz,92
isabella.clark@msc.com,Cloud Training,Week 3,Quiz,42
joseph.lewis@msc.com,Cloud Training,Week 3,Quiz,85
charlotte.robinson@msc.com,Cloud Training,Week 3,Quiz,48
benjamin.young@msc.com,Cloud Training,Week 3,Quiz,14
amelia.hall@msc.com,Cloud Training,Week 3,Quiz,24
samuel.king@msc.com,Cloud Training,Week 3,Quiz,21
abigail.scott@msc.com,Cloud Training,Week 3,Quiz,48
alexander.green@msc.com,Cloud Training,Week 3,Quiz,81
harper.adams@msc.com,Cloud Training,Week 3,Quiz,77
christopher.baker@msc.com,Cloud Training,Week 3,Quiz,23
lily.gonzalez@msc.com,Cloud Training,Week 3,Quiz,51
matthew.nelson@msc.com,Cloud Training,Week 3,Quiz,52
chloe.carter@msc.com,Cloud Training,Week 3,Quiz,61
anthony.mitchell@msc.com,Cloud Training,Week 3,Quiz,59
grace.perez@msc.com,Cloud Training,Week 3,Quiz,83
joshua.moore@msc.com,Cloud Training,Week 3,Quiz,88
ella.white@msc.com,Cloud Training,Week 3,Quiz,57
andrew.ramirez@msc.com,Cloud Training,Week 3,Quiz,24
zoe.walker@msc.com,Cloud Training,Week 3,Quiz,74
nicholas.allen@msc.com,Cloud Training,Week 3,Quiz,17
layla.rivera@msc.com,Cloud Training,Week 3,Quiz,9
ryan.hill@msc.com,Cloud Training,Week 3,Quiz,58
hannah.wright@msc.com,Cloud Training,Week 3,Quiz,5
justin.flores@msc.com,Cloud Training,Week 3,Quiz,24
natalie.collins@msc.com,Cloud Training,Week 3,Quiz,80
ethan.edwards@msc.com,Cloud Training,Week 3,Quiz,22
aria.turner@msc.com,Cloud Training,Week 3,Quiz,46
james.williams@msc.com,Cloud Training,Week 4,Quiz,37
sarah.johnson@msc.com,Cloud Training,Week 4,Quiz,57
michael.brown@msc.com,Cloud Training,Week 4,Quiz,67
emily.davis@msc.com,Cloud Training,Week 4,Quiz,45
john.miller@msc.com,Cloud Training,Week 4,Quiz,93
olivia.garcia@msc.com,Cloud Training,Week 4,Quiz,79
david.martinez@msc.com,Cloud Training,Week 4,Quiz,39
emma.wilson@msc.com,Cloud Training,Week 4,Quiz,50
daniel.anderson@msc.com,Cloud Training,Week 4,Quiz,97
sophia.thomas@msc.com,Cloud Training,Week 4,Quiz,54
robert.taylor@msc.com,Cloud Training,Week 4,Quiz,42
mia.lee@msc.com,Cloud Training,Week 4,Quiz,77
william.harris@msc.com,Cloud Training,Week 4,Quiz,30
isabella.clark@msc.com,Cloud Training,Week 4,Quiz,91
joseph.lewis@msc.com,Cloud Training,Week 4,Quiz,32
charlotte.robinson@msc.com,Cloud Training,Week 4,Quiz,96
benjamin.young@msc.com,Cloud Training,Week 4,Quiz,73
amelia.hall@msc.com,Cloud Training,Week 4,Quiz,40
samuel.king@msc.com,Cloud Training,Week 4,Quiz,59
abigail.scott@msc.com,Cloud Training,Week 4,Quiz,91
alexander.green@msc.com,Cloud Training,Week 4,Quiz,31
harper.adams@msc.com,Cloud Training,Week 4,Quiz,82
christopher.baker@msc.com,Cloud Training,Week 4,Quiz,2
lily.gonzalez@msc.com,Cloud Training,Week 4,Quiz,62
matthew.nelson@msc.com,Cloud Training,Week 4,Quiz,98
chloe.carter@msc.com,Cloud Training,Week 4,Quiz,63
anthony.mitchell@msc.com,Cloud Training,Week 4,Quiz,40
grace.perez@msc.com,Cloud Training,Week 4,Quiz,17
joshua.moore@msc.com,Cloud Training,Week 4,Quiz,74
ella.white@msc.com,Cloud Training,Week 4,Quiz,37
andrew.ramirez@msc.com,Cloud Training,Week 4,Quiz,79
zoe.walker@msc.com,Cloud Training,Week 4,Quiz,7
nicholas.allen@msc.com,Cloud Training,Week 4,Quiz,84
layla.rivera@msc.com,Cloud Training,Week 4,Quiz,64
ryan.hill@msc.com,Cloud Training,Week 4,Quiz,97
hannah.wright@msc.com,Cloud Training,Week 4,Quiz,73
justin.flores@msc.com,Cloud Training,Week 4,Quiz,86
natalie.collins@msc.com,Cloud Training,Week 4,Quiz,97
ethan.edwards@msc.com,Cloud Training,Week 4,Quiz,67
aria.turner@msc.com,Cloud Training,Week 4,Quiz,43
james.williams@msc.com,Cloud Training,Week 5,Quiz,51
sarah.johnson@msc.com,Cloud Training,Week 5,Quiz,76
michael.brown@msc.com,Cloud Training,Week 5,Quiz,48
emily.davis@msc.com,Cloud Training,Week 5,Quiz,73
john.miller@msc.com,Cloud Training,Week 5,Quiz,23
olivia.garcia@msc.com,Cloud Training,Week 5,Quiz,53
david.martinez@msc.com,Cloud Training,Week 5,Quiz,16
emma.wilson@msc.com,Cloud Training,Week 5,Quiz,87
daniel.anderson@msc.com,Cloud Training,Week 5,Quiz,46
sophia.thomas@msc.com,Cloud Training,Week 5,Quiz,44
robert.taylor@msc.com,Cloud Training,Week 5,Quiz,17
mia.lee@msc.com,Cloud Training,Week 5,Quiz,26
william.harris@msc.com,Cloud Training,Week 5,Quiz,34
isabella.clark@msc.com,Cloud Training,Week 5,Quiz,18
joseph.lewis@msc.com,Cloud Training,Week 5,Quiz,55
charlotte.robinson@msc.com,Cloud Training,Week 5,Quiz,14
benjamin.young@msc.com,Cloud Training,Week 5,Quiz,86
amelia.hall@msc.com,Cloud Training,Week 5,Quiz,19
samuel.king@msc.com,Cloud Training,Week 5,Quiz,26
abigail.scott@msc.com,Cloud Training,Week 5,Quiz,45
alexander.green@msc.com,Cloud Training,Week 5,Quiz,54
harper.adams@msc.com,Cloud Training,Week 5,Quiz,88
christopher.baker@msc.com,Cloud Training,Week 5,Quiz,5
lily.gonzalez@msc.com,Cloud Training,Week 5,Quiz,54
matthew.nelson@msc.com,Cloud Training,Week 5,Quiz,12
chloe.carter@msc.com,Cloud Training,Week 5,Quiz,7
anthony.mitchell@msc.com,Cloud Training,Week 5,Quiz,2
grace.perez@msc.com,Cloud Training,Week 5,Quiz,29
joshua.moore@msc.com,Cloud Training,Week 5,Quiz,82
ella.white@msc.com,Cloud Training,Week 5,Quiz,19
andrew.ramirez@msc.com,Cloud Training,Week 5,Quiz,89
zoe.walker@msc.com,Cloud Training,Week 5,Quiz,32
nicholas.allen@msc.com,Cloud Training,Week 5,Quiz,3
layla.rivera@msc.com,Cloud Training,Week 5,Quiz,80
ryan.hill@msc.com,Cloud Training,Week 5,Quiz,76
hannah.wright@msc.com,Cloud Training,Week 5,Quiz,48
justin.flores@msc.com,Cloud Training,Week 5,Quiz,28
natalie.collins@msc.com,Cloud Training,Week 5,Quiz,69
ethan.edwards@msc.com,Cloud Training,Week 5,Quiz,21
aria.turner@msc.com,Cloud Training,Week 5,Quiz,54
james.williams@msc.com,Cloud Training,Week 6,Quiz,31
sarah.johnson@msc.com,Cloud Training,Week 6,Quiz,77
michael.brown@msc.com,Cloud Training,Week 6,Quiz,52
emily.davis@msc.com,Cloud Training,Week 6,Quiz,0
john.miller@msc.com,Cloud Training,Week 6,Quiz,49
olivia.garcia@msc.com,Cloud Training,Week 6,Quiz,91
david.martinez@msc.com,Cloud Training,Week 6,Quiz,12
emma.wilson@msc.com,Cloud Training,Week 6,Quiz,28
daniel.anderson@msc.com,Cloud Training,Week 6,Quiz,67
sophia.thomas@msc.com,Cloud Training,Week 6,Quiz,72
robert.taylor@msc.com,Cloud Training,Week 6,Quiz,61
mia.lee@msc.com,Cloud Training,Week 6,Quiz,76
william.harris@msc.com,Cloud Training,Week 6,Quiz,97
isabella.clark@msc.com,Cloud Training,Week 6,Quiz,27
joseph.lewis@msc.com,Cloud Training,Week 6,Quiz,78
charlotte.robinson@msc.com,Cloud Training,Week 6,Quiz,83
benjamin.young@msc.com,Cloud Training,Week 6,Quiz,84
amelia.hall@msc.com,Cloud Training,Week 6,Quiz,49
samuel.king@msc.com,Cloud Training,Week 6,Quiz,58
abigail.scott@msc.com,Cloud Training,Week 6,Quiz,52
alexander.green@msc.com,Cloud Training,Week 6,Quiz,11
harper.adams@msc.com,Cloud Training,Week 6,Quiz,91
christopher.baker@msc.com,Cloud Training,Week 6,Quiz,69
lily.gonzalez@msc.com,Cloud Training,Week 6,Quiz,88
matthew.nelson@msc.com,Cloud Training,Week 6,Quiz,47
chloe.carter@msc.com,Cloud Training,Week 6,Quiz,49
anthony.mitchell@msc.com,Cloud Training,Week 6,Quiz,97
grace.perez@msc.com,Cloud Training,Week 6,Quiz,63
joshua.moore@msc.com,Cloud Training,Week 6,Quiz,42
ella.white@msc.com,Cloud Training,Week 6,Quiz,26
andrew.ramirez@msc.com,Cloud Training,Week 6,Quiz,73
zoe.walker@msc.com,Cloud Training,Week 6,Quiz,80
nicholas.allen@msc.com,Cloud Training,Week 6,Quiz,6
layla.rivera@msc.com,Cloud Training,Week 6,Quiz,95
ryan.hill@msc.com,Cloud Training,Week 6,Quiz,12
hannah.wright@msc.com,Cloud Training,Week 6,Quiz,23
justin.flores@msc.com,Cloud Training,Week 6,Quiz,3
natalie.collins@msc.com,Cloud Training,Week 6,Quiz,35
ethan.edwards@msc.com,Cloud Training,Week 6,Quiz,90
aria.turner@msc.com,Cloud Training,Week 6,Quiz,28
james.williams@msc.com,Cloud Training,Week 7,Quiz,84
sarah.johnson@msc.com,Cloud Training,Week 7,Quiz,33
michael.brown@msc.com,Cloud Training,Week 7,Quiz,26
emily.davis@msc.com,Cloud Training,Week 7,Quiz,52
john.miller@msc.com,Cloud Training,Week 7,Quiz,79
olivia.garcia@msc.com,Cloud Training,Week 7,Quiz,80
david.martinez@msc.com,Cloud Training,Week 7,Quiz,53
emma.wilson@msc.com,Cloud Training,Week 7,Quiz,88
daniel.anderson@msc.com,Cloud Training,Week 7,Quiz,60
sophia.thomas@msc.com,Cloud Training,Week 7,Quiz,94
robert.taylor@msc.com,Cloud Training,Week 7,Quiz,83
mia.lee@msc.com,Cloud Training,Week 7,Quiz,82
william.harris@msc.com,Cloud Training,Week 7,Quiz,69
isabella.clark@msc.com,Cloud Training,Week 7,Quiz,77
joseph.lewis@msc.com,Cloud Training,Week 7,Quiz,58
charlotte.robinson@msc.com,Cloud Training,Week 7,Quiz,8
benjamin.young@msc.com,Cloud Training,Week 7,Quiz,43
amelia.hall@msc.com,Cloud Training,Week 7,Quiz,61
samuel.king@msc.com,Cloud Training,Week 7,Quiz,0
abigail.scott@msc.com,Cloud Training,Week 7,Quiz,94
alexander.green@msc.com,Cloud Training,Week 7,Quiz,95
harper.adams@msc.com,Cloud Training,Week 7,Quiz,22
christopher.baker@msc.com,Cloud Training,Week 7,Quiz,59
lily.gonzalez@msc.com,Cloud Training,Week 7,Quiz,59
matthew.nelson@msc.com,Cloud Training,Week 7,Quiz,47
chloe.carter@msc.com,Cloud Training,Week 7,Quiz,67
anthony.mitchell@msc.com,Cloud Training,Week 7,Quiz,2
grace.perez@msc.com,Cloud Training,Week 7,Quiz,10
joshua.moore@msc.com,Cloud Training,Week 7,Quiz,80
ella.white@msc.com,Cloud Training,Week 7,Quiz,6
andrew.ramirez@msc.com,Cloud Training,Week 7,Quiz,46
zoe.walker@msc.com,Cloud Training,Week 7,Quiz,23
nicholas.allen@msc.com,Cloud Training,Week 7,Quiz,59
layla.rivera@msc.com,Cloud Training,Week 7,Quiz,97
ryan.hill@msc.com,Cloud Training,Week 7,Quiz,85
hannah.wright@msc.com,Cloud Training,Week 7,Quiz,98
justin.flores@msc.com,Cloud Training,Week 7,Quiz,90
natalie.collins@msc.com,Cloud Training,Week 7,Quiz,97
ethan.edwards@msc.com,Cloud Training,Week 7,Quiz,9
aria.turner@msc.com,Cloud Training,Week 7,Quiz,81
james.williams@msc.com,Cloud Training,Week 8,Quiz,44
sarah.johnson@msc.com,Cloud Training,Week 8,Quiz,91
michael.brown@msc.com,Cloud Training,Week 8,Quiz,15
emily.davis@msc.com,Cloud Training,Week 8,Quiz,15
john.miller@msc.com,Cloud Training,Week 8,Quiz,52
olivia.garcia@msc.com,Cloud Training,Week 8,Quiz,49
david.martinez@msc.com,Cloud Training,Week 8,Quiz,91
emma.wilson@msc.com,Cloud Training,Week 8,Quiz,92
daniel.anderson@msc.com,Cloud Training,Week 8,Quiz,66
sophia.thomas@msc.com,Cloud Training,Week 8,Quiz,72
robert.taylor@msc.com,Cloud Training,Week 8,Quiz,8
mia.lee@msc.com,Cloud Training,Week 8,Quiz,34
william.harris@msc.com,Cloud Training,Week 8,Quiz,7
isabella.clark@msc.com,Cloud Training,Week 8,Quiz,99
joseph.lewis@msc.com,Cloud Training,Week 8,Quiz,27
charlotte.robinson@msc.com,Cloud Training,Week 8,Quiz,54
benjamin.young@msc.com,Cloud Training,Week 8,Quiz,48
amelia.hall@msc.com,Cloud Training,Week 8,Quiz,17
samuel.king@msc.com,Cloud Training,Week 8,Quiz,69
abigail.scott@msc.com,Cloud Training,Week 8,Quiz,52
alexander.green@msc.com,Cloud Training,Week 8,Quiz,58
harper.adams@msc.com,Cloud Training,Week 8,Quiz,84
christopher.baker@msc.com,Cloud Training,Week 8,Quiz,69
lily.gonzalez@msc.com,Cloud Training,Week 8,Quiz,77
matthew.nelson@msc.com,Cloud Training,Week 8,Quiz,18
chloe.carter@msc.com,Cloud Training,Week 8,Quiz,48
anthony.mitchell@msc.com,Cloud Training,Week 8,Quiz,81
grace.perez@msc.com,Cloud Training,Week 8,Quiz,62
joshua.moore@msc.com,Cloud Training,Week 8,Quiz,55
ella.white@msc.com,Cloud Training,Week 8,Quiz,41
andrew.ramirez@msc.com,Cloud Training,Week 8,Quiz,48
zoe.walker@msc.com,Cloud Training,Week 8,Quiz,35
nicholas.allen@msc.com,Cloud Training,Week 8,Quiz,42
layla.rivera@msc.com,Cloud Training,Week 8,Quiz,63
ryan.hill@msc.com,Cloud Training,Week 8,Quiz,38
hannah.wright@msc.com,Cloud Training,Week 8,Quiz,34
justin.flores@msc.com,Cloud Training,Week 8,Quiz,59
natalie.collins@msc.com,Cloud Training,Week 8,Quiz,3
ethan.edwards@msc.com,Cloud Training,Week 8,Quiz,88
aria.turner@msc.com,Cloud Training,Week 8,Quiz,77
james.williams@msc.com,Cloud Training,Week 9,Quiz,49
sarah.johnson@msc.com,Cloud Training,Week 9,Quiz,92
michael.brown@msc.com,Cloud Training,Week 9,Quiz,50
emily.davis@msc.com,Cloud Training,Week 9,Quiz,11
john.miller@msc.com,Cloud Training,Week 9,Quiz,91
olivia.garcia@msc.com,Cloud Training,Week 9,Quiz,86
david.martinez@msc.com,Cloud Training,Week 9,Quiz,3
emma.wilson@msc.com,Cloud Training,Week 9,Quiz,84
daniel.anderson@msc.com,Cloud Training,Week 9,Quiz,52
sophia.thomas@msc.com,Cloud Training,Week 9,Quiz,58
robert.taylor@msc.com,Cloud Training,Week 9,Quiz,18
mia.lee@msc.com,Cloud Training,Week 9,Quiz,29
william.harris@msc.com,Cloud Training,Week 9,Quiz,47
isabella.clark@msc.com,Cloud Training,Week 9,Quiz,3
joseph.lewis@msc.com,Cloud Training,Week 9,Quiz,8
charlotte.robinson@msc.com,Cloud Training,Week 9,Quiz,82
benjamin.young@msc.com,Cloud Training,Week 9,Quiz,77
amelia.hall@msc.com,Cloud Training,Week 9,Quiz,43
samuel.king@msc.com,Cloud Training,Week 9,Quiz,39
abigail.scott@msc.com,Cloud Training,Week 9,Quiz,67
alexander.green@msc.com,Cloud Training,Week 9,Quiz,59
harper.adams@msc.com,Cloud Training,Week 9,Quiz,39
christopher.baker@msc.com,Cloud Training,Week 9,Quiz,49
lily.gonzalez@msc.com,Cloud Training,Week 9,Quiz,58
matthew.nelson@msc.com,Cloud Training,Week 9,Quiz,94
chloe.carter@msc.com,Cloud Training,Week 9,Quiz,96
anthony.mitchell@msc.com,Cloud Training,Week 9,Quiz,97
grace.perez@msc.com,Cloud Training,Week 9,Quiz,45
joshua.moore@msc.com,Cloud Training,Week 9,Quiz,27
ella.white@msc.com,Cloud Training,Week 9,Quiz,82
andrew.ramirez@msc.com,Cloud Training,Week 9,Quiz,89
zoe.walker@msc.com,Cloud Training,Week 9,Quiz,2
nicholas.allen@msc.com,Cloud Training,Week 9,Quiz,37
layla.rivera@msc.com,Cloud Training,Week 9,Quiz,12
ryan.hill@msc.com,Cloud Training,Week 9,Quiz,38
hannah.wright@msc.com,Cloud Training,Week 9,Quiz,61
justin.flores@msc.com,Cloud Training,Week 9,Quiz,62
natalie.collins@msc.com,Cloud Training,Week 9,Quiz,100
ethan.edwards@msc.com,Cloud Training,Week 9,Quiz,32
aria.turner@msc.com,Cloud Training,Week 9,Quiz,40
james.williams@msc.com,Cloud Training,Week 10,Quiz,48
sarah.johnson@msc.com,Cloud Training,Week 10,Quiz,49
michael.brown@msc.com,Cloud Training,Week 10,Quiz,92
emily.davis@msc.com,Cloud Training,Week 10,Quiz,78
john.miller@msc.com,Cloud Training,Week 10,Quiz,8
olivia.garcia@msc.com,Cloud Training,Week 10,Quiz,98
david.martinez@msc.com,Cloud Training,Week 10,Quiz,96
emma.wilson@msc.com,Cloud Training,Week 10,Quiz,80
daniel.anderson@msc.com,Cloud Training,Week 10,Quiz,62
sophia.thomas@msc.com,Cloud Training,Week 10,Quiz,61
robert.taylor@msc.com,Cloud Training,Week 10,Quiz,66
mia.lee@msc.com,Cloud Training,Week 10,Quiz,33
william.harris@msc.com,Cloud Training,Week 10,Quiz,32
isabella.clark@msc.com,Cloud Training,Week 10,Quiz,44
joseph.lewis@msc.com,Cloud Training,Week 10,Quiz,20
charlotte.robinson@msc.com,Cloud Training,Week 10,Quiz,20
benjamin.young@msc.com,Cloud Training,Week 10,Quiz,8
amelia.hall@msc.com,Cloud Training,Week 10,Quiz,6
samuel.king@msc.com,Cloud Training,Week 10,Quiz,97
abigail.scott@msc.com,Cloud Training,Week 10,Quiz,21
alexander.green@msc.com,Cloud Training,Week 10,Quiz,28
harper.adams@msc.com,Cloud Training,Week 10,Quiz,20
christopher.baker@msc.com,Cloud Training,Week 10,Quiz,50
lily.gonzalez@msc.com,Cloud Training,Week 10,Quiz,14
matthew.nelson@msc.com,Cloud Training,Week 10,Quiz,83
chloe.carter@msc.com,Cloud Training,Week 10,Quiz,92
anthony.mitchell@msc.com,Cloud Training,Week 10,Quiz,99
grace.perez@msc.com,Cloud Training,Week 10,Quiz,50
joshua.moore@msc.com,Cloud Training,Week 10,Quiz,60
ella.white@msc.com,Cloud Training,Week 10,Quiz,92
andrew.ramirez@msc.com,Cloud Training,Week 10,Quiz,83
zoe.walker@msc.com,Cloud Training,Week 10,Quiz,34
nicholas.allen@msc.com,Cloud Training,Week 10,Quiz,66
layla.rivera@msc.com,Cloud Training,Week 10,Quiz,96
ryan.hill@msc.com,Cloud Training,Week 10,Quiz,81
hannah.wright@msc.com,Cloud Training,Week 10,Quiz,16
justin.flores@msc.com,Cloud Training,Week 10,Quiz,74
natalie.collins@msc.com,Cloud Training,Week 10,Quiz,43
ethan.edwards@msc.com,Cloud Training,Week 10,Quiz,83
aria.turner@msc.com,Cloud Training,Week 10,Quiz,17
emilyjohnson@example.com,PowerBI Training,Week 1,Lab,68
lucasanderson@example.com,PowerBI Training,Week 1,Lab,52
benjaminharris@example.com,PowerBI Training,Week 1,Lab,43
isabellamoore@example.com,PowerBI Training,Week 1,Lab,12
jamescarter@example.com,PowerBI Training,Week 1,Lab,59
oliviamartin@example.com,PowerBI Training,Week 1,Lab,70
alexanderwright@example.com,PowerBI Training,Week 1,Lab,4
sophialewis@example.com,PowerBI Training,Week 1,Lab,6
michaelscott@example.com,PowerBI Training,Week 1,Lab,38
ameliaclark@example.com,PowerBI Training,Week 1,Lab,10
noahrobinson@example.com,PowerBI Training,Week 1,Lab,42
gracerodriguez@example.com,PowerBI Training,Week 1,Lab,47
elijahturner@example.com,PowerBI Training,Week 1,Lab,86
avamitchell@example.com,PowerBI Training,Week 1,Lab,72
williamcooper@example.com,PowerBI Training,Week 1,Lab,13
charlottehill@example.com,PowerBI Training,Week 1,Lab,76
henryadams@example.com,PowerBI Training,Week 1,Lab,50
evelynbaker@example.com,PowerBI Training,Week 1,Lab,21
samuelcollins@example.com,PowerBI Training,Week 1,Lab,43
miaallen@example.com,PowerBI Training,Week 1,Lab,73
danielbennett@example.com,PowerBI Training,Week 1,Lab,44
harperparker@example.com,PowerBI Training,Week 1,Lab,83
jacobyoung@example.com,PowerBI Training,Week 1,Lab,38
lilyward@example.com,PowerBI Training,Week 1,Lab,30
matthewfoster@example.com,PowerBI Training,Week 1,Lab,41
abigailbrooks@example.com,PowerBI Training,Week 1,Lab,52
josephgriffin@example.com,PowerBI Training,Week 1,Lab,18
ellareed@example.com,PowerBI Training,Week 1,Lab,74
davidflores@example.com,PowerBI Training,Week 1,Lab,55
chloehoward@example.com,PowerBI Training,Week 1,Lab,50
andrewstewart@example.com,PowerBI Training,Week 1,Lab,15
victoriaking@example.com,PowerBI Training,Week 1,Lab,11
thomasphillips@example.com,PowerBI Training,Week 1,Lab,71
hannahbutler@example.com,PowerBI Training,Week 1,Lab,17
christophermorgan@example.com,PowerBI Training,Week 1,Lab,93
arialee@example.com,PowerBI Training,Week 1,Lab,77
anthonybell@example.com,PowerBI Training,Week 1,Lab,67
nataliesanders@example.com,PowerBI Training,Week 1,Lab,1
joshuamorris@example.com,PowerBI Training,Week 1,Lab,46
scarlettrivera@example.com,PowerBI Training,Week 1,Lab,71
jonathanperry@example.com,PowerBI Training,Week 1,Lab,5
penelopecook@example.com,PowerBI Training,Week 1,Lab,65
ryanpeterson@example.com,PowerBI Training,Week 1,Lab,9
eleanorbarnes@example.com,PowerBI Training,Week 1,Lab,1
calebjenkins@example.com,PowerBI Training,Week 1,Lab,20
zoeyrussell@example.com,PowerBI Training,Week 1,Lab,50
jackmurphy@example.com,PowerBI Training,Week 1,Lab,100
madisonhayes@example.com,PowerBI Training,Week 1,Lab,39
charlescoleman@example.com,PowerBI Training,Week 1,Lab,45
laylacooper@example.com,PowerBI Training,Week 1,Lab,96
ethankelly@example.com,PowerBI Training,Week 1,Lab,40
sofiarichardson@example.com,PowerBI Training,Week 1,Lab,79
owencox@example.com,PowerBI Training,Week 1,Lab,45
noraward@example.com,PowerBI Training,Week 1,Lab,74
isaacprice@example.com,PowerBI Training,Week 1,Lab,37
hazellong@example.com,PowerBI Training,Week 1,Lab,85
dylanpowell@example.com,PowerBI Training,Week 1,Lab,78
lillianfisher@example.com,PowerBI Training,Week 1,Lab,62
christianhenderson@example.com,PowerBI Training,Week 1,Lab,46
audreymyers@example.com,PowerBI Training,Week 1,Lab,50
lukebryant@example.com,PowerBI Training,Week 1,Lab,4
lucynguyen@example.com,PowerBI Training,Week 1,Lab,97
carterkim@example.com,PowerBI Training,Week 1,Lab,80
samanthachavez@example.com,PowerBI Training,Week 1,Lab,80
gabrieljenkins@example.com,PowerBI Training,Week 1,Lab,100
bellamorales@example.com,PowerBI Training,Week 1,Lab,42
aaronhayes@example.com,PowerBI Training,Week 1,Lab,45
mayaporter@example.com,PowerBI Training,Week 1,Lab,64
julianramirez@example.com,PowerBI Training,Week 1,Lab,96
rubyhunter@example.com,PowerBI Training,Week 1,Lab,12
leoross@example.com,PowerBI Training,Week 1,Lab,22
sadiediaz@example.com,PowerBI Training,Week 1,Lab,33
adamsimmons@example.com,PowerBI Training,Week 1,Lab,24
violetgray@example.com,PowerBI Training,Week 1,Lab,7
nathanmitchell@example.com,PowerBI Training,Week 1,Lab,93
stellaperry@example.com,PowerBI Training,Week 1,Lab,45
aidenrichardson@example.com,PowerBI Training,Week 1,Lab,61
leahlopez@example.com,PowerBI Training,Week 1,Lab,56
hunterbarnes@example.com,PowerBI Training,Week 1,Lab,70
milabrooks@example.com,PowerBI Training,Week 1,Lab,16
sebastiancarter@example.com,PowerBI Training,Week 1,Lab,20
elliehughes@example.com,PowerBI Training,Week 1,Lab,75
jacksonbennett@example.com,PowerBI Training,Week 1,Lab,25
lunasanders@example.com,PowerBI Training,Week 1,Lab,6
zacharyrogers@example.com,PowerBI Training,Week 1,Lab,92
naomiward@example.com,PowerBI Training,Week 1,Lab,25
liambrown@example.com,PowerBI Training,Week 1,Lab,64
gabriellacruz@example.com,PowerBI Training,Week 1,Lab,29
patrickreed@example.com,PowerBI Training,Week 1,Lab,42
zoeylong@example.com,PowerBI Training,Week 1,Lab,77
calebscott@example.com,PowerBI Training,Week 1,Lab,14
harperthompson@example.com,PowerBI Training,Week 1,Lab,17
blakecarter@example.com,PowerBI Training,Week 1,Lab,51
emilycoleman@example.com,PowerBI Training,Week 1,Lab,62
dominicmyers@example.com,PowerBI Training,Week 1,Lab,36
gracebell@example.com,PowerBI Training,Week 1,Lab,15
isaacwright@example.com,PowerBI Training,Week 1,Lab,77
lilyphillips@example.com,PowerBI Training,Week 1,Lab,95
jaydenstewart@example.com,PowerBI Training,Week 1,Lab,23
charlotteallen@example.com,PowerBI Training,Week 1,Lab,32
emilyjohnson@example.com,PowerBI Training,Week 2,Lab,34
lucasanderson@example.com,PowerBI Training,Week 2,Lab,79
benjaminharris@example.com,PowerBI Training,Week 2,Lab,57
isabellamoore@example.com,PowerBI Training,Week 2,Lab,90
jamescarter@example.com,PowerBI Training,Week 2,Lab,11
oliviamartin@example.com,PowerBI Training,Week 2,Lab,57
alexanderwright@example.com,PowerBI Training,Week 2,Lab,17
sophialewis@example.com,PowerBI Training,Week 2,Lab,84
michaelscott@example.com,PowerBI Training,Week 2,Lab,30
ameliaclark@example.com,PowerBI Training,Week 2,Lab,77
noahrobinson@example.com,PowerBI Training,Week 2,Lab,80
gracerodriguez@example.com,PowerBI Training,Week 2,Lab,6
elijahturner@example.com,PowerBI Training,Week 2,Lab,23
avamitchell@example.com,PowerBI Training,Week 2,Lab,81
williamcooper@example.com,PowerBI Training,Week 2,Lab,9
charlottehill@example.com,PowerBI Training,Week 2,Lab,55
henryadams@example.com,PowerBI Training,Week 2,Lab,84
evelynbaker@example.com,PowerBI Training,Week 2,Lab,39
samuelcollins@example.com,PowerBI Training,Week 2,Lab,95
miaallen@example.com,PowerBI Training,Week 2,Lab,68
danielbennett@example.com,PowerBI Training,Week 2,Lab,0
